"","lat","lon","cellNumber","Data","Cobertura","Obs","Municipio","Bioma","Estado","Fonte","LCI","PVI","Ano","Forrageira","Manejo","Cultivo","Solo","Foto","Condicao"
"1",-47.093300149603,-23.0054347460632,291979887,"2017/05/03","Pastagem",NA,"CAMPINAS","Mata Atlântica","SP","LAPIG e Embrapa",0.92783471936,0,2017,NA,NA,NA,NA,NA,"Com invasoras"
"5",-47.1173678724002,-23.018142797118,292109427,"2017/05/03","Pastagem",NA,"CAMPINAS","Mata Atlântica","SP","LAPIG e Embrapa",0.32121276269,0.5072929253,2017,NA,NA,NA,NA,NA,"Com invasoras"
"7",-47.1546743549615,-23.066321449234,292606025,"2017/05/03","Pastagem",NA,"INDAIATUBA","Mata Atlântica","SP","LAPIG e Embrapa",0.42593716347,0,2017,NA,NA,NA,NA,NA,"Muitos cupins"
"19",-47.2789259415815,-23.175975685671,293728750,"2017/05/03","Pastagem",NA,"SALTO","Mata Atlântica","SP","LAPIG e Embrapa",0.62485965454,0,2017,NA,NA,NA,NA,NA,"Boas condições"
"20",-47.2914238299521,-23.177499757596,293750336,"2017/05/03","Pastagem",NA,"SALTO","Mata Atlântica","SP","LAPIG e Embrapa",0.84972949218,0,2017,NA,NA,NA,NA,NA,"Boas condições"
"22",-47.3265398480081,-23.202921277305,294009423,"2017/05/03","Pastagem",NA,"SALTO","Mata Atlântica","SP","LAPIG e Embrapa",0.49238201019,0.5437942523,2017,NA,NA,NA,NA,NA,"Boas condições"
"24",-47.324040270334,-23.20993200816,294095792,"2017/05/03","Pastagem",NA,"SALTO","Mata Atlântica","SP","LAPIG e Embrapa",0.76648796785,0,2017,NA,NA,NA,NA,NA,"Boas condições"
"28",-47.3242039955294,-23.2512811510983,294506040,"2017/05/03","Pastagem",NA,"ITU","Mata Atlântica","SP","LAPIG e Embrapa",0.61492936991,0,2017,NA,NA,NA,NA,NA,"Boas condições"
"31",-47.3577708755547,-23.2531203665677,294527616,"2017/05/03","Pastagem",NA,"ITU","Mata Atlântica","SP","LAPIG e Embrapa",0.65895115684,0.76680014535,2017,NA,NA,NA,NA,NA,"Com invasoras"
"33",-47.373711398725,-23.2404758085874,294398057,"2017/05/03","Pastagem",NA,"ITU","Mata Atlântica","SP","LAPIG e Embrapa",0.72029572425,0,2017,NA,NA,NA,NA,NA,"Boas condições"
