"","lat","lon","cellNumber","Data","Cobertura","Obs","Municipio","Bioma","Estado","Fonte","LCI","PVI","Ano","Forrageira","Manejo","Cultivo","Solo","Foto","Condicao"
"34",-47.3758935596195,-23.240007395526,294398056,"2017/05/03","Pastagem","Caprinos","ITU","Mata Atlântica","SP","LAPIG e Embrapa",0.85104144913,0.44596894406,2017,"Brachiaria decumbens",NA,NA,NA,"Campo_maio2017\Foto_1.jpg","Com invasoras; Altura Média; Homogeneidade Média; Invasoras Baixa; Baixa quantidade de cupinzeiros; Baixa quantidade de solo exposto; Presença de animal"
"62",-47.57206855051,-23.215266704382,294138858,"2017/05/03","Pastagem","Erosão laminar","PORTO FELIZ","Mata Atlântica","SP","LAPIG e Embrapa",0.70650498639,0.64750903929,2017,"Brachiaria decumbens",NA,NA,NA,"Campo_maio2017\Foto_29.jpg","Boas condições; Altura Baixa; Homogeneidade Média; Invasoras Baixa; Média quantidade de cupinzeiros; Média quantidade de solo exposto; Ausência de animal"
"73",-47.6288748319838,-23.1903475947923,293879727,"2017/05/03","Pastagem",NA,"TIETÊ","Mata Atlântica","SP","LAPIG e Embrapa",0.53826192684,0.65141228443,2017,"Brachiaria decumbens",NA,NA,NA,"Campo_maio2017\Foto_40.jpg","Com invasoras; Altura Baixa; Homogeneidade Alta; Invasoras Baixa; Baixa quantidade de cupinzeiros; Baixa quantidade de solo exposto; Presença de animal"
"97",-47.750041738122,-23.1102971854658,293059173,"2017/05/03","Pastagem",NA,"JUMIRIM","Mata Atlântica","SP","LAPIG e Embrapa",0.66799588979,0.70659052825,2017,"Brachiaria decumbens",NA,NA,NA,"Campo_maio2017\Foto_64.jpg","Boas condições; Altura Baixa; Homogeneidade Alta; Invasoras Baixa; Baixa quantidade de cupinzeiros; Presença de animal"
"140",-47.9450865516848,-23.0412492469605,292346543,"2017/05/03","Pastagem",NA,"PEREIRAS","Mata Atlântica","SP","LAPIG e Embrapa",0.77709390324,0,2017,"Brachiaria decumbens",NA,NA,NA,"Campo_maio2017\Foto_107.jpg","Com invasoras; Altura Média; Homogeneidade Baixa; Invasoras Média; Presença de animal"
"236",-48.2050273370672,-23.201706902505,294009003,"2017/05/04","Pastagem","Solo arenoso","PORANGABA","Mata Atlântica","SP","LAPIG e Embrapa",0.89789592384,0,2017,"Brachiaria decumbens",NA,NA,NA,"Campo_maio2017\Foto_203.jpg","Boas condições; Altura Média; Homogeneidade Baixa; Invasoras Baixa; Baixa quantidade de solo exposto; Ausência de animal"
"266",-48.387699683042,-23.1499655532375,293469116,"2017/05/04","Pastagem",NA,"PARDINHO","Mata Atlântica","SP","LAPIG e Embrapa",0.86318806925,0.64665239746,2017,"Brachiaria decumbens",NA,NA,NA,"Campo_maio2017\Foto_233.jpg","Boas condições; Altura Baixa; Homogeneidade Alta; Invasoras Baixa; Baixa quantidade de cupinzeiros; Baixa quantidade de solo exposto; Presença de animal"
"306",-48.695345848259,-23.0016998248193,291935937,"2017/05/04","Pastagem",NA,"ITATINGA","Cerrado","SP","LAPIG e Embrapa",0.70875720409,0.55863928947,2017,"Brachiaria decumbens",NA,NA,NA,"Campo_maio2017\Foto_273.jpg","Boas condições; Altura Média; Homogeneidade Média; Invasoras Baixa; Ausência de animal"
"334",-48.9172769856187,-22.9422270095693,291331255,"2017/05/04","Pastagem",NA,"AVARÉ","Cerrado","SP","LAPIG e Embrapa",0.92535701746,0.56198955757,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_301.jpg","Boas condições; Altura Baixa; Homogeneidade Alta; Invasoras Baixa; Média quantidade de cupinzeiros; Baixa quantidade de solo exposto; Presença de animal"
"373",-49.1491417868593,-22.860095051709,290467464,"2017/05/04","Pastagem",NA,"IARAS","Cerrado","SP","LAPIG e Embrapa",0.46583434322,0.52365449275,2017,"Brachiaria decumbens",NA,NA,NA,"Campo_maio2017\Foto_340.jpg","Com invasoras; Altura Baixa; Homogeneidade Alta; Invasoras Alta; Alta quantidade de cupinzeiros; Alta quantidade de solo exposto; Presença de animal"
"400",-49.394521737259,-22.7688782306301,289538890,"2017/05/04","Pastagem",NA,"SANTA CRUZ DO RIO PARDO","Cerrado","SP","LAPIG e Embrapa",0.94334893605,0.42043753232,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_367.jpg","Boas condições; Altura Baixa; Homogeneidade Alta; Invasoras Baixa; Baixa quantidade de cupinzeiros; Baixa quantidade de solo exposto; Ausência de animal"
"416",-49.446581814868,-22.7100491327784,288934289,"2017/05/04","Pastagem",NA,"ESPÍRITO SANTO DO TURVO","Cerrado","SP","LAPIG e Embrapa",0.89915108846,0,2017,"Brachiaria decumbens",NA,NA,NA,"Campo_maio2017\Foto_383.jpg","Boas condições; Altura Baixa; Homogeneidade Média; Invasoras Baixa; Baixa quantidade de cupinzeiros; Baixa quantidade de solo exposto; Presença de animal"
"417",-49.4483481092582,-22.7080902465655,288912697,"2017/05/04","Pastagem",NA,"ESPÍRITO SANTO DO TURVO","Cerrado","SP","LAPIG e Embrapa",0.4284556228,0.40570431578,2017,"Brachiaria decumbens",NA,NA,NA,"Campo_maio2017\Foto_384.jpg","Boas condições; Altura Média; Homogeneidade Alta; Invasoras Baixa; Baixa quantidade de cupinzeiros; Baixa quantidade de solo exposto; Ausência de animal"
"500",-49.5451772020196,-22.3997835867175,285717034,"2017/05/04","Pastagem",NA,"LUCIANÓPOLIS","Mata Atlântica","SP","LAPIG e Embrapa",0.80134329226,0.75718450498,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_467.jpg","Boas condições; Altura Baixa; Homogeneidade Média; Invasoras Média; Baixa quantidade de cupinzeiros; Baixa quantidade de solo exposto; Presença de animal"
"539",-49.6939079973321,-22.2095330812465,283752091,"2017/05/05","Pastagem",NA,"GARÇA","Mata Atlântica","SP","LAPIG e Embrapa",0.37870243268,0.73089217644,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_506.jpg","Boas condições; Altura Média; Homogeneidade Alta; Invasoras Baixa; Baixa quantidade de cupinzeiros; Ausência de animal"
"592",-50.0597448528322,-22.1604427583412,283255300,"2017/05/05","Pastagem",NA,"ORIENTE","Mata Atlântica","SP","LAPIG e Embrapa",0.48926402385,0.50366995237,2017,"Brachiaria decumbens",NA,NA,NA,"Campo_maio2017\Foto_559.jpg","Boas condições; Altura Média; Homogeneidade Alta; Invasoras Baixa; Baixa quantidade de cupinzeiros; Baixa quantidade de solo exposto; Ausência de animal"
"622",-50.3155488068251,-22.0783699110439,282413090,"2017/05/05","Pastagem",NA,"QUINTANA","Mata Atlântica","SP","LAPIG e Embrapa",0.80671620106,0.5776025509,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_589.jpg","Boas condições; Altura Baixa; Homogeneidade Média; Invasoras Baixa; Baixa quantidade de cupinzeiros; Baixa quantidade de solo exposto; Presença de animal"
"641",-50.4438880872185,-21.9616094752506,281203877,"2017/05/05","Pastagem",NA,"TUPÃ","Mata Atlântica","SP","LAPIG e Embrapa",0.63708891243,0.59986010664,2017,"Brachiaria decumbens",NA,NA,NA,"Campo_maio2017\Foto_608.jpg","Boas condições; Altura Média; Homogeneidade Média; Invasoras Baixa; Baixa quantidade de cupinzeiros; Baixa quantidade de solo exposto; Ausência de animal"
"667",-50.6557169347769,-21.8746476620753,280296911,"2017/05/05","Pastagem",NA,"IACRI","Mata Atlântica","SP","LAPIG e Embrapa",0.72907045648,0.45375318469,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_634.jpg","Boas condições; Altura Baixa; Homogeneidade Alta; Invasoras Baixa; Baixa quantidade de cupinzeiros; Baixa quantidade de solo exposto; Presença de animal"
"696",-50.8420066423023,-21.7764706182264,279281998,"2017/05/05","Pastagem",NA,"PARAPUÃ","Mata Atlântica","SP","LAPIG e Embrapa",0.5745353332,0,2017,"Brachiaria decumbens",NA,NA,NA,"Campo_maio2017\Foto_663.jpg","Boas condições; Altura Baixa; Homogeneidade Alta; Invasoras Baixa; Baixa quantidade de cupinzeiros; Baixa quantidade de solo exposto; Presença de animal"
"725",-51.082637179324,-21.656807175577,278051139,"2017/05/05","Pastagem",NA,"ADAMANTINA","Mata Atlântica","SP","LAPIG e Embrapa",0.74711440456,0,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_692.jpg","Boas condições; Altura Baixa; Homogeneidade Alta; Invasoras Baixa; Baixa quantidade de cupinzeiros; Baixa quantidade de solo exposto; Presença de animal"
"777",-51.468611429226,-21.4811481067558,276237227,"2017/05/05","Pastagem",NA,"JUNQUEIRÓPOLIS","Mata Atlântica","SP","LAPIG e Embrapa",0.49885672784,0.57874590001,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_744.jpg","Boas condições; Altura Média; Homogeneidade Média; Invasoras Baixa; Baixa quantidade de cupinzeiros; Baixa quantidade de solo exposto; Ausência de animal"
"808",-51.698608396205,-21.3673951683928,275071149,"2017/05/05","Pastagem",NA,"SANTA MERCEDES","Mata Atlântica","SP","LAPIG e Embrapa",0.66973766942,0.58444070093,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_775.jpg","Boas condições; Altura Baixa; Homogeneidade Alta; Invasoras Baixa; Baixa quantidade de cupinzeiros; Média quantidade de solo exposto; Presença de animal"
"848",-51.906712221992,-21.2553675622539,273905081,"2017/05/05","Pastagem",NA,"BRASILÂNDIA","Mata Atlântica","MS","LAPIG e Embrapa",0.56882885877,0,2017,"Nativa",NA,NA,NA,NA,NA
"849",-51.911114647123,-21.2584612614144,273926671,"2017/05/05","Pastagem",NA,"BRASILÂNDIA","Mata Atlântica","MS","LAPIG e Embrapa",0.67939628445,0,2017,"Brachiaria brizantha",NA,NA,NA,NA,"Com invasoras"
"851",-51.9241434458215,-21.2603650762824,273948257,"2017/05/05","Pastagem",NA,"BRASILÂNDIA","Mata Atlântica","MS","LAPIG e Embrapa",0.65017867314,0,2017,"Nativa",NA,NA,NA,NA,NA
"853",-51.939075995928,-21.2597106399215,273948250,"2017/05/05","Pastagem",NA,"BRASILÂNDIA","Mata Atlântica","MS","LAPIG e Embrapa",0.72513154317,0,2017,"Nativa",NA,NA,NA,NA,NA
"865",-52.014988083322,-21.2553675622539,273905029,"2017/05/05","Pastagem",NA,"BRASILÂNDIA","Mata Atlântica","MS","LAPIG e Embrapa",0.69677982699,0.42135085569,2017,"Brachiaria marandu",NA,NA,NA,NA,"Boas condições"
"866",-52.022722073417,-21.2585802498436,273926618,"2017/05/05","Pastagem",NA,"BRASILÂNDIA","Mata Atlântica","MS","LAPIG e Embrapa",0.43866281221,0.41157194373,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_833.jpg","Boas condições; Altura Média; Homogeneidade Alta; Invasoras Baixa; Baixa quantidade de cupinzeiros; Baixa quantidade de solo exposto; Presença de animal"
"899",-52.1428084208532,-21.396839401349,275373224,"2017/05/05","Pastagem",NA,"BRASILÂNDIA","Cerrado","MS","LAPIG e Embrapa",0.55211485536,0.45638928379,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_866.jpg","Com invasoras; Altura Média; Homogeneidade Baixa; Invasoras Média; Baixa quantidade de cupinzeiros; Baixa quantidade de solo exposto; Ausência de animal"
"952",-52.296875115801,-21.5792717580673,277251655,"2017/05/06","Pastagem",NA,"SANTA RITA DO PARDO","Cerrado","MS","LAPIG e Embrapa",0.38222887646,0.3220829513,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_919.jpg","Com invasoras; Altura Média; Homogeneidade Baixa; Invasoras Média; Baixa quantidade de solo exposto; Ausência de animal"
"970",-52.477480691003,-21.6009694550105,277467488,"2017/05/06","Pastagem",NA,"SANTA RITA DO PARDO","Cerrado","MS","LAPIG e Embrapa",0.44483259233,0,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_937.jpg","Com invasoras; Altura Média; Homogeneidade Média; Invasoras Média; Baixa quantidade de solo exposto; Ausência de animal"
"982",-52.5243010771935,-21.5558728403247,277014034,"2017/05/06","Pastagem",NA,"SANTA RITA DO PARDO","Cerrado","MS","LAPIG e Embrapa",0.56434921812,0.29852274328,2017,"Panicum sp.",NA,NA,NA,NA,"Boas condições"
"1006",-52.633469321996,-21.4633593365829,276042342,"2017/05/06","Pastagem",NA,"SANTA RITA DO PARDO","Cerrado","MS","LAPIG e Embrapa",0.34672775221,0.3984647109,2017,"Panicum sp.",NA,NA,NA,NA,"Boas condições"
"1010",-52.661311686338,-21.4464629796294,275869592,"2017/05/06","Pastagem",NA,"SANTA RITA DO PARDO","Cerrado","MS","LAPIG e Embrapa",0.40319808131,0.38430637182,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_977.jpg","Boas condições; Altura Média; Homogeneidade Média; Invasoras Baixa; Baixa quantidade de solo exposto; Presença de animal"
"1057",-52.8448070619186,-21.2993463055832,274358064,"2017/05/06","Pastagem",NA,"SANTA RITA DO PARDO","Cerrado","MS","LAPIG e Embrapa",0.38842561841,0.43591872267,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_1024.jpg","Boas condições; Altura Média; Invasoras Baixa; Baixa quantidade de solo exposto; Presença de animal"
"1063",-52.8734213538706,-21.274981099316,274098947,"2017/05/06","Pastagem",NA,"SANTA RITA DO PARDO","Cerrado","MS","LAPIG e Embrapa",0.37785031957,0.52135592545,2017,"Panicum sp.",NA,NA,NA,NA,"Boas condições"
"1096",-53.0357673805169,-21.170032293197,273019269,"2017/05/06","Pastagem",NA,"SANTA RITA DO PARDO","Cerrado","MS","LAPIG e Embrapa",0.51365689452,0.26502405522,2017,"Brachiaria brizantha",NA,NA,NA,"Campo_maio2017\Foto_1063.jpg","Boas condições; Altura Média; Homogeneidade Média; Invasoras Baixa; Baixa quantidade de cupinzeiros; Baixa quantidade de solo exposto; Ausência de animal"
